itinerary_id,cabin_class,price_formatted,flight_number,origin_airport,destination_airport,departure_time,arrival_time,stop_count,marketing_airline,operating_airline,is_self_transfer,score,duration_in_hours
18467-2504010745--31679-1-10968-2504011249,economy,C$477,6340,YYZ,ATL,2025-04-01T07:45:00,2025-04-01T10:17:00,1,Westjet,Delta Air Lines,False,0.544887,2.53
18467-2504010745--31679-1-10968-2504011249,economy,C$477,6482,ATL,DFW,2025-04-01T11:20:00,2025-04-01T12:49:00,1,Westjet,Delta Air Lines,False,0.544887,2.48
"18390-2504010700--31954,-31825-2-10968-2504011735",economy,C$253,2205,YTZ,YOW,2025-04-01T07:00:00,2025-04-01T07:59:00,2,Porter Airlines, Porter Airlines Inc,True,0.462699,0.98
18467-2504010615--32385-1-10910-2504011111,premium_economy,C$581,2662,YYZ,ATL,2025-04-01T06:15:00,2025-04-01T08:49:00,1,Delta Air Lines,Delta Air Lines,False,0.576769,2.57
18467-2504010745--32385-1-10968-2504011249,premium_economy,C$581,2988,YYZ,ATL,2025-04-01T07:45:00,2025-04-01T10:17:00,1,Delta Air Lines,Delta Air Lines,False,0.5653,2.53
18467-2504010745--32385-1-10968-2504011249,premium_economy,C$581,414,ATL,DFW,2025-04-01T11:20:00,2025-04-01T12:49:00,1,Delta Air Lines,Delta Air Lines,False,0.5653,2.48
18467-2504011220--32385-1-10910-2504011753,premium_economy,C$581,2835,YYZ,ATL,2025-04-01T12:20:00,2025-04-01T14:40:00,1,Delta Air Lines,Delta Air Lines,False,0.538065,2.33
18467-2504011324--32573-0-10968-2504011614,business,C$649,3993,YYZ,DFW,2025-04-01T13:24:00,2025-04-01T16:14:00,0,American Airlines,Envoy Air,False,0.894173,3.83
18467-2504011715--32573-0-10968-2504012010,business,C$527,1111,YYZ,DFW,2025-04-01T17:15:00,2025-04-01T20:10:00,0,American Airlines,American Airlines,False,0.999,3.92
18467-2504010645--32573-0-10968-2504010940,business,C$649,1169,YYZ,DFW,2025-04-01T06:45:00,2025-04-01T09:40:00,0,American Airlines,American Airlines,False,0.795642,3.92
18467-2504011940--31722-0-10968-2504012214,first,C$827,8019,YYZ,DFW,2025-04-01T19:40:00,2025-04-01T22:14:00,0,United Airlines,Air Canada,False,0.999,3.57
18467-2504011400--31722-0-10968-2504011634,first,"C$1,049",8130,YYZ,DFW,2025-04-01T14:00:00,2025-04-01T16:34:00,0,United Airlines,Air Canada,False,0.715434,3.57
18467-2504011314--32573-1-10968-2504011741,first,C$670,4731,YYZ,ORD,2025-04-01T13:14:00,2025-04-01T14:09:00,1,American Airlines,American Eagle,False,0.566809,1.92
18467-2504011314--32573-1-10968-2504011741,first,C$670,2257,ORD,DFW,2025-04-01T15:02:00,2025-04-01T17:41:00,1,American Airlines,American Airlines,False,0.566809,2.65
18467-2504010615--32573-1-10968-2504011047,first,C$549,3524,YYZ,ORD,2025-04-01T06:15:00,2025-04-01T07:30:00,1,American Airlines,Envoy Air,False,0.78815,2.25
18467-2504010615--32573-1-10968-2504011047,first,C$549,481,ORD,DFW,2025-04-01T08:05:00,2025-04-01T10:47:00,1,American Airlines,American Airlines,False,0.78815,2.7
18467-2504011644--32573-1-10968-2504012133,first,C$549,3608,YYZ,ORD,2025-04-01T16:44:00,2025-04-01T17:44:00,1,American Airlines,Envoy Air,False,0.92173,2.0
18467-2504011644--32573-1-10968-2504012133,first,C$549,550,ORD,DFW,2025-04-01T18:45:00,2025-04-01T21:33:00,1,American Airlines,American Airlines,False,0.92173,2.8
"18390-2504020700--31954,-31825-2-10968-2504021735",economy,C$253,2205,YTZ,YOW,2025-04-02T07:00:00,2025-04-02T07:59:00,2,Porter Airlines, Porter Airlines Inc,True,0.606563,0.98
"18390-2504021155--31954,-31825-2-10968-2504022254",economy,C$263,611,ATL,DFW,2025-04-02T21:15:00,2025-04-02T22:54:00,2,Spirit Airlines,Spirit Airlines,True,0.462181,2.65
"18390-2504020900--31954,-31825-2-10968-2504022254",economy,C$263,611,ATL,DFW,2025-04-02T21:15:00,2025-04-02T22:54:00,2,Spirit Airlines,Spirit Airlines,True,0.385329,2.65
18467-2504020615--32385-1-10910-2504021111,premium_economy,C$581,2662,YYZ,ATL,2025-04-02T06:15:00,2025-04-02T08:49:00,1,Delta Air Lines,Delta Air Lines,False,0.539112,2.57
18467-2504020745--32385-1-10968-2504021249,premium_economy,C$581,2988,YYZ,ATL,2025-04-02T07:45:00,2025-04-02T10:17:00,1,Delta Air Lines,Delta Air Lines,False,0.524352,2.53
18467-2504020745--32385-1-10968-2504021249,premium_economy,C$581,414,ATL,DFW,2025-04-02T11:20:00,2025-04-02T12:49:00,1,Delta Air Lines,Delta Air Lines,False,0.524352,2.48
18467-2504020745--32385-1-10968-2504021440,premium_economy,C$560,2988,YYZ,ATL,2025-04-02T07:45:00,2025-04-02T10:17:00,1,Delta Air Lines,Delta Air Lines,False,0.482179,2.53
18467-2504020745--32385-1-10968-2504021440,premium_economy,C$560,921,ATL,DFW,2025-04-02T13:17:00,2025-04-02T14:40:00,1,Delta Air Lines,Delta Air Lines,False,0.482179,2.38
18467-2504020615--32385-2-10968-2504021440,premium_economy,C$560,921,ATL,DFW,2025-04-02T13:17:00,2025-04-02T14:40:00,2,Delta Air Lines,Delta Air Lines,False,0.492572,2.38
18467-2504021324--32573-0-10968-2504021614,business,C$527,3993,YYZ,DFW,2025-04-02T13:24:00,2025-04-02T16:14:00,0,American Airlines,Envoy Air,False,0.999,3.83
18467-2504021715--32573-0-10968-2504022010,business,C$527,1111,YYZ,DFW,2025-04-02T17:15:00,2025-04-02T20:10:00,0,American Airlines,American Airlines,False,0.933064,3.92
18467-2504020645--32573-0-10968-2504020940,business,C$649,1169,YYZ,DFW,2025-04-02T06:45:00,2025-04-02T09:40:00,0,American Airlines,American Airlines,False,0.795642,3.92
18467-2504021940--31722-0-10968-2504022214,first,C$596,8019,YYZ,DFW,2025-04-02T19:40:00,2025-04-02T22:14:00,0,United Airlines,Air Canada,False,0.999,3.57
18467-2504021400--31722-0-10968-2504021634,first,C$827,8130,YYZ,DFW,2025-04-02T14:00:00,2025-04-02T16:34:00,0,United Airlines,Air Canada,False,0.730022,3.57
18467-2504020900--31722-1-10968-2504021332,first,C$618,1538,YYZ,ORD,2025-04-02T09:00:00,2025-04-02T10:01:00,1,United Airlines,United Airlines,False,0.441401,2.02
18467-2504020900--31722-1-10968-2504021332,first,C$618,307,ORD,DFW,2025-04-02T10:45:00,2025-04-02T13:32:00,1,United Airlines,United Airlines,False,0.441401,2.78
18467-2504020615--32573-1-10968-2504021300,first,C$549,3524,YYZ,ORD,2025-04-02T06:15:00,2025-04-02T07:30:00,1,American Airlines,Envoy Air,False,0.452287,2.25
18467-2504020615--32573-1-10968-2504021300,first,C$549,1109,ORD,DFW,2025-04-02T10:15:00,2025-04-02T13:00:00,1,American Airlines,American Airlines,False,0.452287,2.75
"18390-2504030700--31954,-31825-2-10968-2504031735",economy,C$284,2205,YTZ,YOW,2025-04-03T07:00:00,2025-04-03T07:59:00,2,Porter Airlines, Porter Airlines Inc,True,0.609193,0.98
